iter	Passed	Remaining
0	94	87800
1	213	99549
2	294	91609
3	486	113198
4	567	105472
5	609	94378
6	690	91586
7	843	97728
8	939	96622
9	1013	93727
10	1177	98919
11	1308	100633
12	1424	101063
13	1499	98670
14	1655	101556
15	1706	98020
16	1716	92677
17	1793	91382
18	1900	91627
19	2048	93706
20	2199	95733
21	2272	94294
22	2320	92015
23	2431	92295
24	2539	92423
25	2644	92440
26	2752	27	3027	98084
28	31128	2963	29	32229	3095	30	33230	3193	31	33931	3315	32	35232	3404	33	36933	3521	34	37434	3633	35	39135	3735	36	40636	3868	37	41437	3973	38	42738	4098	39	44139	4260	40	45240	4354	41	45741	4488	95434
42	4604	95508
43	4739	44	49444	4890	45	51245	4948	46	5208	98402
47	5349	98849
48	5468	98876
49	5589	98934
50	5746	9950	5886	102027
51	6097	103542
52	6333	105397
53	6438	105042
54	64955	6425	100850
56	6597	101617
57	6786	102617
58	6928	102876
59	7107	103654
60	7229	103581
61	7408	104311
62	7555	104570
63	7680	104523
64	7770	104002
65	7912	104185
66	8105	105006
67	8192	104449
68	8350	104805
69	8457	104505
70	8591	104551
71	8657	103770
72	8808	104009
73	8960	104257
74	9082	104147
75	9268	104759
76	9372	104438
77	9617	105673
78	9728	105415
79	9851	105289
80	9957	104987
81	10083	104889
82	10205	104755
83	10272	104075
84	10341	103412
85	10452	103190
86	10538	102716
87	10646	102470
88	10779	102467
89	10870	102060
90	10985	101884
91	11092	101643
92	11241	101777
93	11376	101781
94	11531	101966
95	11631	101650
96	11730	101341
97	11863	101324
98	11911	100589
99	12084	100906
100	12152	100348
101	12340	100784
102	12362	99857
103	12392	99019
104	12402	98038
105	12414	97089
1107	12110	12393107	125111	12508	109	12112	12635	110	12113	12740	111	13114	12861	112115115	12997	917116116	13137	114117117	13267	115118118	13409	919119119	13485	915120120	13630	916121121	13754	916122122	13902	917123123	14012	916124124	14092	913125125	14268	123	14126	14482	92142
127	14598	92036
128	14725	92005
129	14869	92074
130	14996	92040
131	15083	91759
132	15177	91521
133	15265	91252
134	15429	91434
135	15536	91279
136	15611	90936
137	15716	90768
138	15856	90805
139	15921	90412
140	16115	90751
141	16184	90380
142	16236	89923
143	16359	89861
144	16437	89556
145	16522	89287
146	16648	89245
147	16788	89274
148	16858	88933
149	17039	89174
150	17134	88964
151	17252	88873
152	17335	88603
153	17448	88486
154	17627	88703
155	17699	88384
156	17824	88328
157	17928	88165
158	18045	88071
159	18210	88206
160	18382	88370
161	18516	88354
162	18625	88213
163	18748	88141
164	18859	88009
165	18959	87828
166	19062	87665
167	19221	87756
168	19315	87546
169	19416	87374
170	19506	87150
171	19567	86802
172	19694	86746
173	19792	86565
174	19871	86298
175	19940	85994
176	20033	85793
177	20127	85596
178	20209	85353
179	20377	85472
180	20478	85307
181	20583	85163
182	20688	85015
183	20765	84753
184	20903	84742
185	21016	84632
186	21085	84342
187	21152	84045
188	21241	83842
189	21357	83743
190	21482	83679
191	21630	83703
192	21863	84056
193	21966	83904
194	22063	83726
195	22180	83628
196	22293	83517
197	22414	83431
198	22479	83140
199	22629	83164
200	22758	83106
201	22883	83039
202	23020	83009
203	23154	82970
204	23292	82944
205	23427	82907
206	23573	82907
207	23657	82688
208	23809	82706
209	23910	82547
210	24034	82470
211	24091	82161
212	24173	81939
213	24251	81705
214	24403	81721
215	24650	82053
216	24784	82004
217	24842	81705
218	24981	81673
219	25113	81620
220	25259	81606
221	25400	81578
222	25494	81401
223	25575	81179
224	25634	80891
225	25833	81044
226	25965	80984
227	26129	81022
228	26240	80897
229	26311	80649
230	26424	80530
231	26503	80309
232	26643	80272
233	26793	80266
234	26861	80011
066	77206
236	26199	77160
237	26304	77034
238	26476	77103
239	26567	76936
240	26689	76856
241	26806	76763
242	26922	76667
240	264244	26188241	264245	26278242	265246	26472	73736
247	26590	73659
248	26679	73502
249	26849	73568
250	26877	73242
91	75047
99
251	26974	73110
26117253	262249	26180254	263250	26299255	264251	26442	71667
252	26559	71593
253	26664	71491
254	26762	71367
255	26861	71246
256	26907261	27038	69454
	70675
258	262	27023	69048
26972	70023
